time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-09-17,61180.35,59427.21,60348.88,5051.39,304969111.52,60166.9,direct,
2021-09-18,62501.64,59849.56,60166.9,5054.77,311498082.75,61468.51,direct,
2021-09-19,61945.66,59681.75,61468.51,3913.28,238199090.85,60476.62,direct,
2021-09-20,60566.15,54339.93,60476.62,4613.46,264420286.6,54911.22,direct,
2021-09-21,55723.85,50674.68,54911.22,4122.36,222296207.09,52029.99,direct,
2021-09-22,56102.05,51836.92,52029.99,6212.73,338703110.95,55513.23,direct,
2021-09-23,57082.7,54788.01,55513.23,6672.36,373576184.82,56662.02,direct,
2021-09-24,57423.35,51536.17,56662.02,7576.96,413195542.83,54306.35,direct,
2021-09-25,54519.97,52476.71,54306.35,6986.59,376183823.25,53831.67,direct,
2021-09-26,55724.27,51372.51,53831.67,6752.9,365686586.88,54810.59,direct,
2021-09-27,56138.07,53025.2,54810.59,6428.84,353171526.56,53089.7,direct,
2021-09-28,54047.11,51712.09,53089.7,6795.21,360399078.46,52178.05,direct,
2021-09-29,54169.54,51557.43,52178.05,6474.43,343882927.88,53100.84,direct,
2021-09-30,55960.2,52646.04,53100.84,5817.95,319699518.6,55743.46,direct,
2021-10-01,61480.08,54870.89,55743.46,6627.83,385434772.28,61062.68,direct,
2021-10-02,61295.34,59804.33,61062.68,5233.37,316575197.26,60044.56,direct,
2021-10-03,62413.95,59391.84,60044.56,5876.13,356716369.88,61034.51,direct,
2021-10-04,61635.16,59336.02,61034.51,2113.73,127579324.27,61561.89,direct,
2021-10-05,64949.73,61427.71,61561.89,76.69,4827952.57,64438.88,direct,
2021-10-06,69353.63,63371.47,64438.88,103.18,6920503.41,68983.52,direct,
2021-10-07,69500.0,67148.28,69499.96,9.149,625005.22,67616.38,direct,
2021-10-08,70548.62,66840.1,67616.38,4440.22,303660273.55,67499.12,direct,
2021-10-09,69359.72,66721.64,67499.12,5990.68,408714251.43,68729.11,direct,
2021-10-10,70645.65,67277.35,68729.11,5907.23,406806290.17,68074.11,direct,
2021-10-11,72328.33,67718.12,68074.11,5265.63,372561162.88,71924.83,direct,
2021-10-12,72143.73,67075.73,71924.83,5344.14,377113447.28,69992.84,direct,
2021-10-13,72011.53,67315.68,69992.84,6008.79,419273800.49,71128.98,direct,
2021-10-14,72899.57,70138.73,71128.98,6736.99,480782954.84,71142.5,direct,
2021-10-15,77923.95,70093.13,71142.5,5548.97,410975702.52,76479.18,direct,
2021-10-16,77274.62,74100.32,76479.18,6118.8,463721724.02,74997.56,direct,
2021-10-17,76513.37,72760.28,74997.56,6411.43,481457901.87,76310.52,direct,
2021-10-18,77859.95,74130.81,76310.52,5344.16,409024939.22,76986.11,direct,
2021-10-19,79874.29,75657.81,76986.11,5157.34,399800201.4,79638.77,direct,
2021-10-20,82699.14,78170.67,79638.77,5643.79,452404372.41,81043.53,direct,
2021-10-21,82406.55,76363.84,81043.53,3559.59,282144353.57,76757.39,direct,
2021-10-22,78858.33,74087.86,76757.39,4013.28,308604704.86,74766.56,direct,
2021-10-23,76492.36,73534.63,74766.56,3643.36,274932825.22,75538.75,direct,
2021-10-24,76209.55,73335.2,75538.75,3114.72,233896709.2,75020.74,direct,
2021-10-25,79187.2,74755.68,75020.74,2942.93,227739863.44,78246.96,direct,
2021-10-26,78534.34,73969.34,78246.96,4423.61,340994980.74,74468.24,direct,
2021-10-27,76367.8,71728.57,74468.24,3774.03,278314922.88,72492.02,direct,
2021-10-28,77271.18,71315.13,72492.02,2643.69,196663591.57,75019.07,direct,
2021-10-29,78225.87,74125.67,75019.07,3843.91,292377802.11,77344.69,direct,
2021-10-30,77440.47,75004.25,77344.69,3736.98,285110945.78,76887.79,direct,
2021-10-31,77498.96,74113.91,76887.79,3292.04,249097523.47,76160.74,direct,
2021-11-01,77582.19,73464.98,76160.74,4042.67,306301606.48,75189.22,direct,
2021-11-02,80046.08,74869.73,75189.22,3070.36,238611412.67,78673.34,direct,
2021-11-03,79056.13,74875.52,78673.34,4147.97,323015496.3,78051.33,direct,
2021-11-04,78291.48,75455.43,78051.33,3009.87,231369190.37,76698.03,direct,
2021-11-05,78243.17,75412.51,76698.03,4222.31,323253221.89,75735.38,direct,
2021-11-06,76899.22,74672.88,75735.38,3641.76,277049049.6,76342.33,direct,
2021-11-07,79008.55,76183.57,76342.33,3663.25,283399974.68,78553.37,direct,
2021-11-08,84517.82,78553.37,78553.37,4549.32,372711080.57,83762.71,direct,
2021-11-09,85551.96,82281.77,83762.71,2574.31,216116053.59,82964.7,direct,
2021-11-10,85805.64,78425.57,82964.7,3325.9,276050932.03,81294.31,direct,
2021-11-11,82541.0,79889.19,81294.31,2504.95,203885791.31,81812.05,direct,
2021-11-12,82662.73,77992.17,81812.05,3446.16,278320807.08,80732.43,direct,
